ticker,company,sector,entry_date,cohort,label,is_winner,peak_mult_5y,mult_5y,source,usable_periods_screener,usable_periods_yfinance,determinate,rescued_by_screener,verdict,composite,vetoes,soft_flags,is_financial,roce,roe_latest,altman_z,fcf_posrate,ocf_np,earnings_cagr,detail,regime_label,rerating_boost,regime_cautions
BHEL.NS,Bharat Heavy Electricals,CapitalGoods,2010-01-01,2010,non_multibagger,False,1.121,0.626,screener_consolidated,0,0,False,False,INDETERMINATE,0.4572,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
LT.NS,Larsen & Toubro,CapitalGoods,2010-01-01,2010,non_multibagger,False,1.637,1.417,screener_consolidated,0,0,False,False,INDETERMINATE,0.4981,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
SUZLON.NS,Suzlon Energy,CapitalGoods,2010-01-01,2010,non_multibagger,False,1.049,0.161,screener_consolidated,0,0,False,False,INDETERMINATE,0.4125,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
HAVELLS.NS,Havells India,CapitalGoods,2012-01-01,2012,multibagger_strong,True,6.264,4.74,screener_consolidated,0,0,False,False,INDETERMINATE,0.4744,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
KAJARIACER.NS,Kajaria Ceramics,CapitalGoods,2012-01-01,2012,multibagger_strong,True,15.925,10.091,screener_consolidated,0,0,False,False,INDETERMINATE,0.5512,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
SUPREMEIND.NS,Supreme Industries,CapitalGoods,2012-01-01,2012,multibagger_strong,True,6.231,5.615,screener_consolidated,0,0,False,False,INDETERMINATE,0.5171,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
CUMMINSIND.NS,Cummins India,CapitalGoods,2014-01-01,2014,intermediate,False,2.624,1.966,screener_consolidated,0,0,False,False,INDETERMINATE,0.4865,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,fx_stress
ASTRAL.NS,Astral,CapitalGoods,2015-01-01,2015,multibagger,True,3.983,3.764,screener_consolidated,0,0,False,False,INDETERMINATE,0.5542,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
CERA.NS,Cera Sanitaryware,CapitalGoods,2015-01-01,2015,intermediate,False,2.131,1.522,screener_consolidated,0,0,False,False,INDETERMINATE,0.5589,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
ABB.NS,ABB India,CapitalGoods,2016-01-01,2016,non_multibagger,False,1.532,1.218,screener_consolidated,2,0,True,True,FAIL,,RF2 earnings not cash-backed: cumCFO/cumNP=0.23 < 0.5; RF8 perception-only re-rating: PE=146 > 40 with 5y earnings CAGR=-24% <= 0,,False,0.089,0.054,7.08,0.0,0.23,-0.237,vetoed: RF2 earnings not cash-backed: cumCFO/cumNP=0.23 < 0.5; RF8 perception-only re-rating: PE=146 > 40 with 5y earnings CAGR=-24% <= 0,risk_on,0.0,
